id,text,label,language,theme,pii_flag,synthetic_style
sms_00001,Droits: Dernière relance avant blocage temporaire des paiements: hxxps://secure-remboursement[.]com/paiement/blrq3,phishing,fr,benefits_update,True,advanced_curated
sms_00002,"Prelèvement SEPA de 12,4€ enregistre.",ham,fr,bank_legit,True,advanced_curated
sms_00003,"SantéFR: Dernière étape pour conserver vos droits santé: hxxps://regul-facture-energie[.]com/maj/1esp7 Sans réponse, votre dossier sera suspendu.",phishing,fr,vitale_renewal,True,advanced_curated
sms_00004,Votre colis ne rentre pas dans la boîte aux lettres. Reprogrammez la livraison: hxxps://telepaiement-info[.]net/remboursement/wuqaygi0p,phishing,fr,parcel_delivery,True,advanced_curated
sms_00005,On passe dimanche pour le déjeuner.,ham,fr,family,False,advanced_curated
sms_00006,"Achat suspect de 19,99€ détecté. Si vous n'êtes pas à l'origine, appelez immédiatement le [PHONE].",phishing,fr,fake_bank_opposition,True,advanced_curated
sms_00007,AidesFR: Suspension de versement évitable avant minuit: hxxps://service-aides-france[.]com/confirm/fulz2ads,phishing,fr,benefits_update,True,advanced_curated
sms_00008,Confirm: Réinitialisation de sécurité requise. Continuez ici: hxxps://secure-remboursement[.]com/dossier/y72ivgly,phishing,fr,account_verification,True,advanced_curated
sms_00009,Sécurité: Nouvelle politique de sécurité. Mise à jour nécessaire: hxxps://espace-client-verif[.]net/maj/wy0tuzg2v,phishing,fr,account_verification,True,advanced_curated
sms_00010,EDF: Régularisation EDF effectuée. Choisissez votre mode de restitution: hxxps://espace-client-verif[.]net/secure/mv9e4 Urgent.,phishing,fr,edf_refund,True,advanced_curated
sms_00011,Code temporaire 817706 valable 10 minutes.,ham,fr,otp_security,True,advanced_curated
sms_00012,FranceServices: Dernière relance avant blocage temporaire des paiements: hxxps://maj-dossier-sante[.]fr/paiement/qd6yn5g Délai très court.,phishing,fr,benefits_update,True,advanced_curated
sms_00013,"VITALE: Nouvelle carte disponible. Confirmez l'adresse d'envoi: hxxps://secure-remboursement[.]com/secure/683ple45 Sans réponse, votre dossier sera suspendu.",phishing,fr,vitale_renewal,True,advanced_curated
sms_00014,FranceServices: Document manquant pour maintenir vos aides. Déposez-le ici: hxxps://service-aides-france[.]com/confirm/cqxcs1xsr,phishing,fr,benefits_update,True,advanced_curated
sms_00015,Peux-tu m'envoyer le fichier avant 17h ? Urgent.,ham,fr,work,False,advanced_curated
sms_00016,"ELEC: Un trop-perçu de 589,99€ est disponible. Confirmez votre remboursement: hxxps://telepaiement-info[.]net/maj/5d34gu5",phishing,fr,edf_refund,True,advanced_curated
sms_00017,"EDF: Facture corrigée, remboursement en attente de validation: hxxps://secure-remboursement[.]com/paiement/xdrh4k4jke Délai très court.",phishing,fr,edf_refund,True,advanced_curated
sms_00018,"Virement de 12,4€ reçu sur votre compte.",ham,fr,bank_legit,True,advanced_curated
sms_00019,LIVRAISON: Votre colis ne rentre pas dans la boîte aux lettres. Reprogrammez la livraison: hxxps://espace-client-verif[.]net/remboursement/7h6g Merci de régulariser avant minuit.,phishing,fr,parcel_delivery,True,advanced_curated
sms_00020,Document manquant pour maintenir vos aides. Déposez-le ici: hxxps://regul-facture-energie[.]com/dossier/1l0vdp6,phishing,fr,benefits_update,True,advanced_curated
sms_00021,Compte: Votre compte sera limité sous 12h sans validation: hxxps://maj-dossier-sante[.]fr/maj/y5u0 Délai très court.,phishing,fr,account_verification,True,advanced_curated
sms_00022,"Je suis en route, j'arrive dans 11 min.",ham,fr,personal_chat,False,advanced_curated
sms_00023,"Papa arrive vers 12h, tu peux lui ouvrir ?",ham,fr,family,False,advanced_curated
sms_00024,Débit en cours sur votre carte. Service opposition: [PHONE].,phishing,fr,fake_bank_opposition,True,advanced_curated
sms_00025,On fait un point rapide demain matin ?,ham,fr,work,False,advanced_curated
sms_00026,Je t'appelle après la réunion.,ham,fr,personal_chat,False,advanced_curated
sms_00027,RÉGULARISATION EDF EFFECTUÉE. CHOISISSEZ VOTRE MODE DE RESTITUTION: HXXPS://SERVICE-AIDES-FRANCE[.]COM/SUIVI/0L8O9 MERCI DE RÉGULARISER AVANT MINUIT. URGENT.,phishing,fr,edf_refund,False,advanced_curated
sms_00028,Peux-tu m'envoyer le fichier avant 17h ?,ham,fr,work,False,advanced_curated
sms_00029,Point relais confirmé. Retrait possible dès demain.,ham,fr,legit_delivery,False,advanced_curated
sms_00030,"Retrait de 259,99€ confirmé.",ham,fr,bank_legit,True,advanced_curated
sms_00031,Code de connexion: 773871. Ne le partagez jamais.,ham,fr,otp_security,True,advanced_curated
sms_00032,"Merci encore pour hier, c'était top 😊 Urgent.",ham,fr,personal_chat,False,advanced_curated
sms_00033,Votre code de verification est 429697.,ham,fr,otp_security,True,advanced_curated
sms_00034,ANTAI: Amende majorée en attente. Paiement sous 48h: hxxps://telepaiement-info[.]net/secure/akj6szxi,phishing,fr,fine_toll,True,advanced_curated
sms_00035,SOSCARTES: Debit en cours sur votre carte. Service opposition: [PHONE]. Merci.,phishing,fr,fake_bank_opposition,True,advanced_curated
sms_00036,Avis de contravention disponible. Consultez votre dossier: hxxps://secure-remboursement[.]com/confirm/7i8skc,phishing,fr,fine_toll,True,advanced_curated
sms_00037,Tu peux venir me chercher à la gare ?,ham,fr,family,False,advanced_curated
sms_00038,"Facture corrigée, remboursement en attente de validation: hxxps://maj-dossier-sante[.]fr/maj/3948jp",phishing,fr,edf_refund,True,advanced_curated
sms_00039,"Papa arrive vers 18h, tu peux lui ouvrir ?",ham,fr,family,False,advanced_curated
sms_00040,Virement inhabituel repéré. Opposition urgente au [PHONE]. Action requise aujourd'hui. Urgent.,phishing,fr,fake_bank_opposition,True,advanced_curated
sms_00041,RelaisColis: Échec de livraison aujourd'hui. Choisissez un nouveau créneau: hxxps://secure-remboursement[.]com/maj/limf,phishing,fr,parcel_delivery,True,advanced_curated
sms_00042,"Ulys: Avis de contravention disponible. Consultez votre dossier: hxxps://maj-dossier-sante[.]fr/secure/5wk3bneg Sans réponse, votre dossier sera suspendu. Urgent.",phishing,fr,fine_toll,True,advanced_curated
sms_00043,Régularisation EDF effectuée. Choisissez votre mode de restitution: hxxps://secure-remboursement[.]com/suivi/x4lr,phishing,fr,edf_refund,True,advanced_curated
sms_00044,Je t'ai laissé un message vocal.,ham,fr,work,False,advanced_curated
sms_00045,"Paiement carte de 0,99€ effectué chez CARREFOUR.",ham,fr,bank_legit,True,advanced_curated
sms_00046,On passe dimanche pour le déjeuner.,ham,fr,family,False,advanced_curated
sms_00047,Tu peux venir me chercher à la gare ?,ham,fr,family,False,advanced_curated
sms_00048,Tu peux passer vers 8h ?,ham,fr,personal_chat,False,advanced_curated
sms_00049,AMENDE: Avis de contravention disponible. Consultez votre dossier: hxxps://service-aides-france[.]com/secure/t25cd Urgent.,phishing,fr,fine_toll,True,advanced_curated
